,X,riskfactor,unit of rr,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR,minage,note
114,6,veg,100g/d,IHD,87.5,-0.023287259,0.005800797,0.976981797,0.005667273,55.4,-0.049612735,75,
115,1,veg,100g/d,ISTK,30,-0.273348209,0.084692484,0.763558087,0.064758189,60,-0.181521877,25,
116,2,veg,100g/d,ISTK,40,-0.26216963,0.081228984,0.771919925,0.062782532,60,-0.181521877,35,
117,3,veg,100g/d,ISTK,50,-0.222406593,0.068909055,0.802490636,0.055348388,60,-0.181521877,45,
118,4,veg,100g/d,ISTK,60,-0.184291591,0.057099744,0.833048659,0.047594949,60,-0.181521877,55,
119,5,veg,100g/d,ISTK,70,-0.152860264,0.04736126,0.859211691,0.040709051,60,-0.181521877,65,
120,6,veg,100g/d,ISTK,87.5,-0.08829719,0.023592582,0.915488762,0.021598743,60,-0.181521877,75,
121,1,wg,50g/d,TSTK,30,-0.134053217,0.046110927,0.875473661,0.04044476,61.1,-0.093212382,25,
122,2,wg,50g/d,TSTK,40,-0.128571109,0.04422522,0.880211284,0.038996894,61.1,-0.093212382,35,
123,3,wg,50g/d,TSTK,50,-0.109070842,0.03751762,0.89729801,0.033713284,61.1,-0.093212382,45,
124,4,wg,50g/d,TSTK,60,-0.090378791,0.031088026,0.91402647,0.028448019,61.1,-0.093212382,55,
125,5,wg,50g/d,TSTK,70,-0.074964494,0.025785896,0.928084771,0.023953573,61.1,-0.093212382,65,
126,6,wg,50g/d,TSTK,87.5,-0.043288178,0.01278527,0.957635381,0.012243627,61.1,-0.093212382,75,
127,1,wg,50g/d,DIAB,30,-0.191565599,0.043310807,0.826438524,0.035743356,58,-0.12855416,25,
128,2,wg,50g/d,DIAB,40,-0.183731521,0.041539611,0.832875921,0.034550205,58,-0.12855416,35,
129,3,wg,50g/d,DIAB,50,-0.155865123,0.035239335,0.856205005,0.030136047,58,-0.12855416,45,
130,4,wg,50g/d,DIAB,60,-0.129153687,0.029200183,0.879212967,0.025646967,58,-0.12855416,55,
131,5,wg,50g/d,DIAB,70,-0.107126248,0.024220029,0.898675353,0.021747049,58,-0.12855416,65,
132,6,wg,50g/d,DIAB,87.5,-0.061624073,0.011909687,0.94023628,0.01119792,58,-0.12855416,75,
133,1,wg,50g/d,IHD,30,-0.050649688,0.020902493,0.950819063,0.019870169,63.4,-0.034219775,25,
134,2,wg,50g/d,IHD,40,-0.048578369,0.020047685,0.9527739,0.019096871,63.4,-0.034219775,35,
135,3,wg,50g/d,IHD,50,-0.04121053,0.01700707,0.959765708,0.016319724,63.4,-0.034219775,45,
136,4,wg,50g/d,IHD,60,-0.034148062,0.014092478,0.966524264,0.013618494,63.4,-0.034219775,55,
137,5,wg,50g/d,IHD,70,-0.028324037,0.011688976,0.972139665,0.011361718,63.4,-0.034219775,65,
138,6,wg,50g/d,IHD,87.5,-0.016347001,0.005770998,0.983785886,0.005677426,63.4,-0.034219775,75,
139,2,sugar,1g/d,IHD,40,0.012916225,0.002518349,1.013,0.002551067,,,35,
140,3,sugar,1g/d,IHD,50,0.01093994,0.002018659,1.011,0.002040854,,,45,
141,4,sugar,1g/d,IHD,60,0.008959741,0.001768949,1.009,0.001785747,,,55,
142,5,sugar,1g/d,IHD,70,0.00796817,0.001266041,1.008,0.001275534,,,65,
143,6,sugar,1g/d,IHD,87.5,0.003992021,0.000761892,1.004,0.00076532,,,75,
144,2,sugar,1g/d,DIAB,40,0.013902905,0.003775699,1.014,0.003826601,,,35,
145,3,sugar,1g/d,DIAB,50,0.01093994,0.003278728,1.011,0.003316387,,,45,
146,4,sugar,1g/d,DIAB,60,0.009950331,0.002779794,1.01,0.002806174,,,55,
147,5,sugar,1g/d,DIAB,70,0.00796817,0.002278884,1.008,0.002295961,,,65,
148,6,sugar,1g/d,DIAB,87.5,0.004987542,0.001269822,1.005,0.001275534,,,75,
149,2,sugar,1g/d,BMI_low,40,,,0.005,0.001530612,,,35,bmi (baseline<25)
150,3,sugar,1g/d,BMI_low,50,,,0.005,0.001530612,,,45,bmi (baseline<25)
151,4,sugar,1g/d,BMI_low,60,,,0.005,0.001530612,,,55,bmi (baseline<25)
152,5,sugar,1g/d,BMI_low,70,,,0.005,0.001530612,,,65,bmi (baseline<25)
153,6,sugar,1g/d,BMI_low,87.5,,,0.005,0.001530612,,,75,bmi (baseline<25)
154,2,sugar,1g/d,BMI_high,40,,,0.011,0.002040816,,,35,bmi (baseline>=25)
155,3,sugar,1g/d,BMI_high,50,,,0.011,0.002040816,,,45,bmi (baseline>=25)
156,4,sugar,1g/d,BMI_high,60,,,0.011,0.002040816,,,55,bmi (baseline>=25)
157,5,sugar,1g/d,BMI_high,70,,,0.011,0.002040816,,,65,bmi (baseline>=25)
158,6,sugar,1g/d,BMI_high,87.5,,,0.011,0.002040816,,,75,bmi (baseline>=25)
159,1,sodium,2300 mg/d,SBP_main,30,,,1.64,0.931122449,,,25,"sbp (main effect, whites, normotensive)"
160,2,sodium,2300 mg/d,SBP_main,40,,,2.69,0.785714286,,,35,"sbp (main effect, whites, normotensive)"
161,3,sodium,2300 mg/d,SBP_main,50,,,3.74,0.732142857,,,45,"sbp (main effect, whites, normotensive)"
162,4,sodium,2300 mg/d,SBP_main,60,,,4.79,0.785714286,,,55,"sbp (main effect, whites, normotensive)"
163,5,sodium,2300 mg/d,SBP_main,70,,,5.84,0.931122449,,,65,"sbp (main effect, whites, normotensive)"
164,6,sodium,2300 mg/d,SBP_main,87.5,,,5.84,0.931122449,,,75,"sbp (main effect, whites, normotensive)"
165,1,sodium,2300 mg/d,SBP_black,30,,,2.49,1.204081633,,,25,"sbp (additional effect, among blacks)"
166,2,sodium,2300 mg/d,SBP_black,40,,,2.49,1.204081633,,,35,"sbp (additional effect, among blacks)"
167,3,sodium,2300 mg/d,SBP_black,50,,,2.49,1.204081633,,,45,"sbp (additional effect, among blacks)"
168,4,sodium,2300 mg/d,SBP_black,60,,,2.49,1.204081633,,,55,"sbp (additional effect, among blacks)"
169,5,sodium,2300 mg/d,SBP_black,70,,,2.49,1.204081633,,,65,"sbp (additional effect, among blacks)"
170,6,sodium,2300 mg/d,SBP_black,87.5,,,2.49,1.204081633,,,75,"sbp (additional effect, among blacks)"
171,1,sodium,2300 mg/d,SBP_hpt,30,,,1.87,0.892857143,,,25,"sbp (additional effect, among hypertensives)"
172,2,sodium,2300 mg/d,SBP_hpt,40,,,1.87,0.892857143,,,35,"sbp (additional effect, among hypertensives)"
173,3,sodium,2300 mg/d,SBP_hpt,50,,,1.87,0.892857143,,,45,"sbp (additional effect, among hypertensives)"
174,4,sodium,2300 mg/d,SBP_hpt,60,,,1.87,0.892857143,,,55,"sbp (additional effect, among hypertensives)"
175,5,sodium,2300 mg/d,SBP_hpt,70,,,1.87,0.892857143,,,65,"sbp (additional effect, among hypertensives)"
176,6,sodium,2300 mg/d,SBP_hpt,87.5,,,1.87,0.892857143,,,75,"sbp (additional effect, among hypertensives)"
177,2,bmi,5kg/m2,IHD,40,0.353230589,0.028489739,1.42423662,0.040577866,65.1,0.207014169,35,
178,3,bmi,5kg/m2,IHD,50,0.299656417,0.024168726,1.349788829,0.032622806,65.1,0.207014169,45,
179,4,bmi,5kg/m2,IHD,60,0.248302701,0.020026802,1.282104692,0.025675883,65.1,0.207014169,55,
180,5,bmi,5kg/m2,IHD,70,0.205954141,0.016611188,1.228866204,0.020412191,65.1,0.207014169,65,
181,6,bmi,5kg/m2,IHD,87.5,0.118175345,0.008238997,1.125441435,0.009272509,65.1,0.207014169,75,
182,2,bmi,5kg/m2,TSTK,40,0.208627494,0.034421989,1.232715118,0.04242337,66.6,0.122217633,35,
183,3,bmi,5kg/m2,TSTK,50,0.176985146,0.029201236,1.194121731,0.034862405,66.6,0.122217633,45,
184,4,bmi,5kg/m2,TSTK,60,0.146654259,0.024196865,1.158292162,0.028021419,66.6,0.122217633,55,
185,5,bmi,5kg/m2,TSTK,70,0.12164206,0.020070037,1.129576999,0.022666509,66.6,0.122217633,65,
186,6,bmi,5kg/m2,TSTK,87.5,0.070026999,0.010014762,1.072537139,0.010741205,66.6,0.122217633,75,
187,1,bmi,5kg/m2,DIAB,30,1.267573227,0.19712465,3.552221658,0.580819195,n/a,n/a,25,
188,2,bmi,5kg/m2,DIAB,40,1.122468055,0.153155612,3.072427774,0.406499152,n/a,n/a,35,
189,3,bmi,5kg/m2,DIAB,50,0.978956652,0.109023593,2.661677737,0.26127662,n/a,n/a,45,
190,4,bmi,5kg/m2,DIAB,60,0.840282087,0.064146451,2.317020486,0.139664886,n/a,n/a,55,
191,5,bmi,5kg/m2,DIAB,70,0.705762392,0.019766248,2.025390238,0.039268782,n/a,n/a,65,
192,6,bmi,5kg/m2,DIAB,87.5,0.418475319,0.040861657,1.519642818,0.059673634,n/a,n/a,75,
193,1,sbp ,10 mmHg increase in SBP,IHD,30,0.595531134,0.175135135,1.813994163,0.323969997,n/a,n/a,25,
194,2,sbp ,10 mmHg increase in SBP,IHD,40,0.520330116,0.136226917,1.682583006,0.231946312,n/a,n/a,35,
195,3,sbp ,10 mmHg increase in SBP,IHD,50,0.444880128,0.097287567,1.560303148,0.152719674,n/a,n/a,45,
196,4,sbp ,10 mmHg increase in SBP,IHD,60,0.368680283,0.05828237,1.445825275,0.084449512,n/a,n/a,55,
197,5,sbp ,10 mmHg increase in SBP,IHD,70,0.287150631,0.0185143,1.332624933,0.024678033,n/a,n/a,65,
198,6,sbp ,10 mmHg increase in SBP,IHD,87.5,0.167865296,0.039575667,1.182777275,0.046856154,n/a,n/a,75,
199,1,sbp ,10 mmHg increase in SBP,ISTK,30,0.833171816,0.054588739,2.300604273,0.125826837,n/a,n/a,25,
200,2,sbp ,10 mmHg increase in SBP,ISTK,40,0.717029548,0.041580454,2.04833967,0.085265207,n/a,n/a,35,
201,3,sbp ,10 mmHg increase in SBP,ISTK,50,0.601747156,0.028968562,1.825305109,0.052904879,n/a,n/a,45,
202,4,sbp ,10 mmHg increase in SBP,ISTK,60,0.487577141,0.018019094,1.628366135,0.029347783,n/a,n/a,55,
203,5,sbp ,10 mmHg increase in SBP,ISTK,70,0.36791996,0.019647908,1.444726398,0.028392868,n/a,n/a,65,
204,6,sbp ,10 mmHg increase in SBP,ISTK,87.5,0.15882199,0.020088205,1.172129278,0.023552057,n/a,n/a,75,
205,1,sbp ,10 mmHg increase in SBP,HSTK,30,0.811346629,0.153596289,2.250937124,0.350981661,n/a,n/a,25,
206,2,sbp ,10 mmHg increase in SBP,HSTK,40,0.748346276,0.175734195,2.113501976,0.378802251,n/a,n/a,35,
207,3,sbp ,10 mmHg increase in SBP,HSTK,50,0.637077101,0.143749064,1.89094575,0.275432276,n/a,n/a,45,
208,4,sbp ,10 mmHg increase in SBP,HSTK,60,0.507799908,0.090267396,1.661631428,0.150774875,n/a,n/a,55,
209,5,sbp ,10 mmHg increase in SBP,HSTK,70,0.378759673,0.036060986,1.460472003,0.052709921,n/a,n/a,65,
210,6,sbp ,10 mmHg increase in SBP,HSTK,87.5,0.169904821,0.047824377,1.18519204,0.056764112,n/a,n/a,75,
