Time,ssb,ssb.se,added_sugar,added_sugar.se,sodium,sodium.se,kcal,kcal.se,sfat,sfat.se
62,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
63,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
64,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
65,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
66,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
67,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
68,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
69,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
70,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
71,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
72,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
73,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
74,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
75,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
76,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
77,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
78,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
79,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
80,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
81,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
82,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
83,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
84,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
